Game,like,date,comment,good
GTA5,1,2020-02-05,옛날 게임 킨다 온라인 접속 버튼을 누른다 기다린다 온라인 플레이를 포기한다 스토리를 진행한다 현재 게임을 킨다 온라인에 접속 버튼을 누른다 기다리는 김에 잠깐 자리를 비운다 핵쟁이가 잠수타는 님을 열심히 밟는다 ,158
GTA5,1,2019-02-14,이게임엔 딱 두가지임 거지 or 부자부자가 되면 뭔가 여유로운 풍족한 삶에 더이상 목표의식이 사라져 별 개 만들고 총질이나 해대다가 결국 질려서 접음거지가 되면 말그대로 현실과 다름없음 차는 사고싶은데 존나 비쌈 어렵게 어렵게 습격질 몇번해서 겨우 차를 샀는데 이게 왠걸 튜닝까지 튜닝까지 다하고나면 집도 사야하고 총도사야하고 암튼 돈에 시달려야함,95
GTA5,0,2019-07-25,바다이야기가 낳은 괴물 PM ,158
GTA5,1,2018-11-24,Region Lock China ,169
GTA5,0,2016-10-27,게임은 재미있다그런데 무고밴을 당했다처음 온라인플레이 할 때 일단 케릭만 만들어두자는 생각으로 케릭만들고 분정도 튜토하다가 껐다정확히는 모르겠지만 약 분정도다첫 튜토로 레이싱하고 나서 껐다근데 시간후에 이메일로 주밴을 당했다고 연락이 왔다 같이 레이싱 튜토 한놈이 한명 더 있었는데 그놈이 핵 플레이어라서 그런가 하고 생각했다영구밴도 아니었기에 대수롭지 않게 생각했고 그 당시 게임본편의 메인스토리를 깨고 있었기에메인스토리 주정도 하다가 온라인 밴 풀리면 하면 되겠지 하고 대수롭지 않게 생각하고 넘어갔다밴이 풀리고 본격적으로 온라인 플레이를 시작했다공개세션에서 모르는 사람 명을 만나 명이 하는 작업을 같이 플레이했다의외로 굉장히 어렵고 게임 본편과는 달리 총 몇대 맞으면 케릭이 죽으니까 자꾸 실패해서 생각보다 오랜 시간이 걸려서 깼다약 시간 정도 한거 같은데 굉장히 힘들어서 껐다그리고 시간 후에 이메일로 주 밴이 됐다고 연락이 왔다이때 약간 짜증이 났다락스타 새끼들은 밴 됐다고 통보만 하고 무엇때문에 밴이 됐는지 알려주지 않는다같이 작업한 명중 핵 플레이어가 있었다면 그렇게 죽어가면서 힘들게 깨지도 않았을 거다짜증은 났지만 뭔가 문제가 있었겠지 하고 또 넘어갔다 번째 온라인 플레이 할 때는 혼자서 즐겼다가장 기본적으로 돈을 버는 편의점 털기랑시민들에게 빼앗은 차 팔기 정도를 했는데대충 만달러 정도 벌고 끝냈다이때는 한 시간 한거같다그리고 또 어김없이 시간 뒤에 주밴 통보가 이메일로 날아왔다이번에는 혼자 했는데 또 뭔가 이유를 알려주지 않으니 대체 뭐가 문제인지 알수도 없고 고칠수도 없다짜증나서 접었다몇달간 접속도 하지 않았다그리고 어제 온라인 접속하면 만 달러를 준다는 이벤트 때문에 한번 접속했다내 수중에는 돈이 만달러 그대로 있었다해킹의 흔적도 없었다바로 끄기 심심해서 바인우드가서 바인우드 글씨를 배경으로 셀카 한번 찍고 껐다그리고 이번에는 이메일로 영구밴이 됐다고 날아왔다여전히 이유는 안 가르쳐 준다락스타 망해라P S 물어보시는 분이 많아서 추가로 적습니다저는 싱글에서도 치트나 트레이너 핵같은거 전혀 쓰지 않았고이상한 패치나 모드같은 것도 전혀 깐 적 없이순정 바닐라로 싱글플레이 했습니다물론 멀티도 마찬가지로 순정 바닐라로 했구요게임하면서 잠수도 타본적 없습니다그리고 다른분들이 온라인에서 습격만 플레이해도 돈값하신다고 하셨는데 습격은 무슨 온라인은 플레이도 제대로 못했습니다P S 자꾸 따지시는 분들이 많아서 또 남깁니다전 락스타 안티는 맞지만 GTA 안티는 아닙니다제 계정 보시면 아시겠지만 GTA 부터 산안 바이스 리버티 다 있구요불만 있던 적은 한번도 없습니다GTA자체는 정말 좋아하는 시리즈이고GTA 싱글도 정말 재밌게 했습니다다만 온라인에 대해서는 불만이 있을뿐이고재밌게 그타 온라인 즐기시는 분들 기분나쁘게 하려는 의도도 아니고이것 때문에 게임을 사지 말라고 불매운동 하는 것도 아닙니다그냥 제 경험을 말했을 뿐이구요 제 의견을 말했을 뿐입니다GTA 안티냐고 그러시는 분들이 많은데 위에서도 말했지만 아니구요락스타 안티입니다게임 사서 재밌게 하실분들은 재밌게 하시면 됩니다세일할 때 사서 싱글만 즐겨도 돈값한다고 댓글도 남긴거 같은데댓글 첫 페이지에 있는지 보이진 않네요팬이라면 아니시더라도 GTA 는 싱글만으로도 충분합니다사서 하세요다만 온라인은 복불복이라는 말씀 드리고 싶네요락스타 운영방식만은 욕하고 싶을 뿐입니다,287
GTA5,1,2021-05-22,뉴비년들아 잘들어라 사이퍼펑크 비교대상과 에픽의 무료판매로인해 뉴비유입이 많아졌지만 점점 발길들이 끊키는걸 없지않아 느끼고있다 고였다 말할순 없지만 하루에 천만달러정도는 모을 수 있는 경지다 뉴비잼민들이 원하는게 결국 뭐냐 돈 차 그리고 가장 뽕취하는게 오프레서다 맞나 내경험으로는 현재 뉴비 비중이 이상 어린친구다 맞나 그 갬성 우리들또한 알고있다 우리들또한 잼민시절부터 범죄뽕맛에 취해 산안드레아스 휘날리던 시절이 있기에너네들 그 마음 모르는거 아니다 하지만 지금까지 보아온 어린간나들은 다 똑같단말이다 어디서 굴러댕기는 요상한 오픈카 하나 주서다가 점착폭탄 휘날리며 깽판칠때 형은 얼탱이가 없다 갓프레서 끌고오면 그 미친분조장 잼들은 꼬리를 내리며 도망치다 처 뒤지는거 보면 형은 진짜 가슴이 아프단 말이다 한새션 비중으로 볼때 핵 고인물 평민 나머지 찌끄래기가 너희들이다 이말이야 이것만 말하고 싶다 나는 너네편이야 왜 너네같은 낭만있는 씹새들보다 그 어딜가나 자유로이 활개치는 핵 개간나들이 싫단다 그래서 맨탈터져 겜삭제한 잼민 겁없이 호랑이한테 덤비는 잼민 개짜져살면서 개 썩은집 하나 구했다고 실실대는 잼민이들 잘들어 니들 원하는거 있으면 말하면돼 돈 씨벌 남아도는게 돈이야 고인놈들은 새션 쳐들어가서 정중히 말한다 국산 있음 대답하는 간나들을 잘본다 랩 미만 국산들은 거른다 특별한 이유는 아니고 예들도 살기 바뻐 주인님구합니다 준작 노예할께요 페습 만 TT 이라고 친다 고인놈들은 돈의 소중함을 잃기에 시간넘치는 놈들은 도 준다 습격중 깝치지말고 짜지면서 따라댕기며 어깨넘어로 배운다 질문도 필수 그러면 기분좋아짐 주인님 잘 만나면 하루에 천만달러는 빨아먹을수 있다 모든 고인들이 다 포용해주진 않을거다 당연하지 왜 좆같으니깐 그러니 항상 정중히 간곡히 알아처들었냐 나는 성인이다 성인이다 주문을 외우란 말이야 나를 못되게는 보지 말아라 나는 직접 새션 돌아다니면서 핵인는 곳에서 판치고 있는 잼민이들 납치해 구원해주는 놈이다 너희들이 생각하는 그런 낭만적인 범죄놀이가 아니야 이게임은 알간 진정으로 멀티를 즐기고싶으면 아는법을 알아라 어려운거 없다 물어보면 다 대답해준다 음슴체 자제하고 씨벌 개띠껍네 갑자기 상호존중 OK 돈벌면 차에 눈돌아가지말고 젠토르노 한대면 충분하다 니들은 팁 혼자 조용히 공개새션 하고싶으면 들어라 작업관리자 성능 리소스모니터 GTA 프로세스중지 초대기 프로세스 다시시작 이거 중요한깐 기억하고 떠나지 말아라 핵쟁이 명보다 잼민 명이 좋으니 이상이다 ,251
GTA5,1,2019-01-27,말도 못 알아듣는 외국인이랑 게임하고 초보끼고 게임하다가 분 동안 모은 외국인 중 한 명 나가서 게임 파투나고 그렇게 힘들게 번 피 같은 돈으로 여러 시설도 사고 눈물 콧물 질질 짜면서 이기주의 자본주의 배타적 성격 등을 배우면무고밴을 당합니다 사실 이러한 일들은 락스타에서 유저들이 게임에 지루함을 느끼지 않게 처음부터 다시 플레이할 수 있는 기회를 만들어주는 것입니다 그렇게 저는 락스타의 따스한 마음을 엿볼 수 있었고 이 게임은 저의 인생 교과서가 되었습니다 정말 신중한 노력 없이는 이렇게까지 완벽한 게임을 만들기가 쉽지 않습니다 때로는 세상의 부조리를 일깨워주는 길잡이가 되어주고 때로는 제작자의 따스한 마음을 보여주는 만화경이 됩니다 되지도 않는 감성 팔이하고 이해도 안 되는 스토리를 늘어놓는 게임보다 오늘 원으로 인생 교과서를 하나 장만하는 것이 어떤가요 ,173
GTA5,1,2022-04-20, ,128
GTA5,1,2020-05-14,내일 무료 배포한다던데 진짜임 ,374
GTA5,0,2018-09-26,씨 발 핵좀 잡아 발련들아,105
GTA5,1,2015-04-16,당신이 풀옵션이라면 당장해야할것은 스트립클럽으로 가는것이다 ,545
GTA5,0,2019-06-27,핵좀 안잡냐 진짜 개 좆같네 핵이 무슨 판마다 한명씩은 꼭있냐,113
GTA5,1,2020-11-20,어 옵치보다 갓겜이네요,100
GTA5,1,2023-02-13, ,161
GTA5,1,2023-01-21,중국인만 없으면 평화로운 게임 ,86
GTA5,1,2022-01-09,무료로 받은 제품 일단 개추,217
GTA5,1,2023-06-19,멀티에 들어가면 핑핑이의 후손들이 핵으로 판을 침 필수로 천안문 드립 복붙준비 해야함 ,102
